Symbol,Sample_Count,RMSE,MAE,Hit_Rate
NTRNUSDT,31,67.53441,67.53441,0.45161290322580644
COSUSDT,31,67.506615,67.5066,0.45161290322580644
PAXGUSDT,31,427.112,343.06308,0.41935483870967744
SXPUSDT,31,67.52822,67.52821,0.41935483870967744
IDEXUSDT,31,67.52076,67.52076,0.3548387096774194
FLOWUSDT,31,67.51878,67.51878,0.3225806451612903
PIXELUSDT,31,67.46991,67.4699,0.3225806451612903
DEGOUSDT,31,68.0251,68.0244,0.3225806451612903
MBOXUSDT,31,67.54078,67.54077,0.2903225806451613
HOOKUSDT,31,67.538,67.538,0.25806451612903225
FORTHUSDT,31,68.178444,68.177956,0.25806451612903225
RDNTUSDT,31,67.53061,67.5306,0.25806451612903225
SCUSDT,31,67.5239,67.52389,0.22580645161290322
PHBUSDT,31,67.65203,67.65203,0.22580645161290322
PHAUSDT,31,67.5503,67.55031,0.22580645161290322
DCRUSDT,31,92.82608,92.76071,0.1935483870967742
ZECUSDT,31,281.38162,280.69333,0.1935483870967742
FIOUSDT,31,67.5226,67.522606,0.1935483870967742
KAVAUSDT,31,67.57599,67.57598,0.1935483870967742
TRUUSDT,31,67.536705,67.536705,0.16129032258064516
IOSTUSDT,31,67.53133,67.53133,0.16129032258064516
DENTUSDT,31,67.51898,67.51898,0.16129032258064516
LRCUSDT,31,67.55021,67.55021,0.12903225806451613
MBLUSDT,31,67.474396,67.474396,0.12903225806451613
DYDXUSDT,31,67.59373,67.59372,0.12903225806451613
KNCUSDT,31,67.66229,67.66229,0.12903225806451613
EDUUSDT,31,67.5963,67.59629,0.12903225806451613
ENAUSDT,31,67.43054,67.430534,0.12903225806451613
BOMEUSDT,31,67.48877,67.48877,0.12903225806451613
ONTUSDT,31,67.57081,67.570816,0.12903225806451613
UTKUSDT,31,67.53265,67.53267,0.12903225806451613
WAXPUSDT,31,67.53195,67.53196,0.12903225806451613
MEMEUSDT,31,67.502945,67.50295,0.12903225806451613
GTCUSDT,31,67.61699,67.61698,0.12903225806451613
WLDUSDT,31,67.27032,67.269905,0.12903225806451613
XVGUSDT,31,67.49106,67.49106,0.12903225806451613
QIUSDT,31,67.53027,67.53027,0.12903225806451613
REZUSDT,31,67.52598,67.52598,0.12903225806451613
AMPUSDT,31,67.51988,67.51988,0.12903225806451613
ZENUSDT,31,72.77402,72.77301,0.0967741935483871
METISUSDT,31,70.592896,70.59264,0.0967741935483871
ETHFIUSDT,31,67.99581,67.9958,0.0967741935483871
MDTUSDT,31,67.53143,67.53143,0.0967741935483871
RLCUSDT,31,67.921265,67.92126,0.0967741935483871
RPLUSDT,31,69.33834,69.3382,0.0967741935483871
AVAUSDT,31,67.723465,67.72346,0.0967741935483871
AIUSDT,31,67.540054,67.540054,0.0967741935483871
CVXUSDT,31,69.39952,69.39925,0.0967741935483871
SAGAUSDT,31,67.5364,67.5364,0.0967741935483871
DASHUSDT,31,98.474014,98.46276,0.0967741935483871
ADAUSDT,31,67.176414,67.17637,0.0967741935483871
ALCXUSDT,31,72.45969,72.457825,0.0967741935483871
DEXEUSDT,31,73.124176,73.10778,0.0967741935483871
STGUSDT,31,67.695175,67.69515,0.0967741935483871
AGLDUSDT,31,67.75982,67.75981,0.0967741935483871
HFTUSDT,31,67.53915,67.53915,0.0967741935483871
MOVRUSDT,31,68.701256,68.70119,0.0967741935483871
SYNUSDT,31,67.545876,67.545876,0.0967741935483871
ONEUSDT,31,67.528496,67.5285,0.0967741935483871
PEOPLEUSDT,31,67.52606,67.52607,0.0967741935483871
AXLUSDT,31,67.55869,67.55869,0.0967741935483871
AAVEUSDT,31,173.35782,173.21428,0.0967741935483871
OXTUSDT,31,67.548515,67.54853,0.0967741935483871
SUPERUSDT,31,67.633354,67.63336,0.0967741935483871
WIFUSDT,31,67.61837,67.61836,0.0967741935483871
BICOUSDT,31,67.54832,67.54831,0.0967741935483871
ONGUSDT,31,67.58909,67.58909,0.0967741935483871
FETUSDT,31,67.464386,67.464325,0.0967741935483871
WUSDT,31,67.52811,67.528114,0.0967741935483871
WOOUSDT,31,67.54662,67.54662,0.0967741935483871
SSVUSDT,31,69.98781,69.98739,0.0967741935483871
VANRYUSDT,31,67.510864,67.51087,0.0967741935483871
DUSKUSDT,31,67.45493,67.45484,0.0967741935483871
TWTUSDT,31,67.954124,67.95411,0.06451612903225806
SLPUSDT,31,67.50683,67.50683,0.06451612903225806
GMXUSDT,31,73.994545,73.99375,0.06451612903225806
GALAUSDT,31,67.48624,67.486244,0.06451612903225806
TUSDT,31,67.53588,67.53589,0.06451612903225806
FTTUSDT,31,67.80372,67.80371,0.06451612903225806
SNXUSDT,31,67.79357,67.793564,0.06451612903225806
STORJUSDT,31,67.61895,67.61895,0.06451612903225806
PIVXUSDT,31,67.60161,67.6016,0.06451612903225806
IOTXUSDT,31,67.528015,67.528015,0.06451612903225806
IQUSDT,31,67.52841,67.52841,0.06451612903225806
PENDLEUSDT,31,68.665825,68.665794,0.06451612903225806
POLYXUSDT,31,67.56881,67.56882,0.06451612903225806
ORDIUSDT,31,69.83191,69.83178,0.06451612903225806
PORTALUSDT,31,67.53275,67.532745,0.06451612903225806
OGNUSDT,31,67.53934,67.53934,0.06451612903225806
PYTHUSDT,31,67.549934,67.549934,0.06451612903225806
NFPUSDT,31,67.53696,67.53696,0.06451612903225806
QTUMUSDT,31,68.39635,68.39633,0.06451612903225806
MLNUSDT,31,70.905136,70.90469,0.06451612903225806
QUICKUSDT,31,67.53702,67.537025,0.06451612903225806
RONINUSDT,31,67.58899,67.58898,0.06451612903225806
MASKUSDT,31,67.95467,67.954666,0.06451612903225806
1INCHUSDT,31,67.566925,67.566925,0.06451612903225806
SANTOSUSDT,31,68.6816,68.68151,0.06451612903225806
SEIUSDT,31,67.51976,67.51977,0.06451612903225806
JTOUSDT,31,67.72392,67.723915,0.06451612903225806
JOEUSDT,31,67.56525,67.56525,0.06451612903225806
RSRUSDT,31,67.51062,67.51063,0.06451612903225806
STEEMUSDT,31,67.58146,67.58147,0.06451612903225806
ENJUSDT,31,67.53196,67.53195,0.06451612903225806
ALTUSDT,31,67.51472,67.51472,0.06451612903225806
DODOUSDT,31,67.54052,67.54052,0.06451612903225806
COTIUSDT,31,67.51897,67.518974,0.06451612903225806
VTHOUSDT,31,67.52394,67.52394,0.06451612903225806
DYMUSDT,31,67.55317,67.55316,0.06451612903225806
ATAUSDT,31,67.54279,67.54279,0.06451612903225806
AVAXUSDT,31,76.49711,76.49583,0.06451612903225806
APTUSDT,31,68.38905,68.38903,0.06451612903225806
CTKUSDT,31,67.683174,67.68317,0.06451612903225806
CHZUSDT,31,67.36673,67.366714,0.06451612903225806
CYBERUSDT,31,68.03189,68.031876,0.06451612903225806
ANKRUSDT,31,67.52409,67.5241,0.06451612903225806
BATUSDT,31,67.61568,67.61568,0.06451612903225806
ARUSDT,31,69.194786,69.194695,0.06451612903225806
CELRUSDT,31,67.49556,67.49556,0.06451612903225806
CELOUSDT,31,67.59572,67.595726,0.06451612903225806
ALICEUSDT,31,67.61948,67.61947,0.06451612903225806
YGGUSDT,31,67.53909,67.539085,0.06451612903225806
FIDAUSDT,31,67.5363,67.53631,0.06451612903225806
AEVOUSDT,31,67.544945,67.544945,0.06451612903225806
XAIUSDT,31,67.50566,67.50565,0.06451612903225806
ACEUSDT,31,67.65632,67.65633,0.06451612903225806
FILUSDT,31,68.27035,68.27032,0.06451612903225806
CRVUSDT,31,67.651596,67.6516,0.06451612903225806
ARKMUSDT,31,67.60457,67.60457,0.06451612903225806
ATMUSDT,31,68.61994,68.61988,0.03225806451612903
PORTOUSDT,31,68.56202,68.56198,0.03225806451612903
ASTRUSDT,31,67.524605,67.524605,0.03225806451612903
PONDUSDT,31,67.53282,67.53282,0.03225806451612903
POWRUSDT,31,67.59141,67.5914,0.03225806451612903
FLUXUSDT,31,67.572556,67.572556,0.03225806451612903
ATOMUSDT,31,69.24387,69.24383,0.03225806451612903
AUDIOUSDT,31,67.54188,67.541885,0.03225806451612903
SUNUSDT,31,67.52466,67.52466,0.03225806451612903
AXSUSDT,31,68.42365,68.42361,0.03225806451612903
XNOUSDT,31,68.00914,68.009125,0.03225806451612903
BCHUSDT,31,493.2104,493.01184,0.03225806451612903
OPUSDT,31,67.534485,67.534485,0.03225806451612903
BEAMXUSDT,31,67.49922,67.49922,0.03225806451612903
OGUSDT,31,70.075745,70.07563,0.03225806451612903
PROMUSDT,31,68.47071,68.47067,0.03225806451612903
