,Open,High,Low,Close,Volume,Number of trades
t-60,0.20071802,0.3365903,0.25748196,0.023849826,0.05032582,0.13103308
t-59,0.20067544,0.33647314,0.25759527,0.023838965,0.05038151,0.1310348
t-58,0.20065828,0.33639303,0.2576629,0.023826659,0.050415892,0.13104229
t-57,0.20062721,0.33629653,0.25774792,0.023813678,0.050467797,0.13104583
t-56,0.20061533,0.3362209,0.2578039,0.0237975,0.05050486,0.13105652
t-55,0.20056127,0.33605966,0.25794193,0.023779226,0.050595812,0.13106117
t-54,0.20052387,0.335971,0.25802043,0.023762155,0.05065976,0.13106196
t-53,0.2005238,0.3359614,0.25802323,0.023749955,0.05067527,0.13106556
t-52,0.2005507,0.33600256,0.25797096,0.023741167,0.050661612,0.13107188
t-51,0.2005609,0.3360173,0.25794715,0.023730256,0.050668277,0.1310748
t-50,0.20054425,0.3359893,0.2579884,0.023716658,0.050688576,0.13107145
t-49,0.20052266,0.33593526,0.25804925,0.02369953,0.050719827,0.13107164
t-48,0.20053868,0.3359674,0.25801277,0.0236858,0.05071895,0.13107455
t-47,0.20057145,0.3360269,0.25794077,0.02367368,0.050705682,0.13107988
t-46,0.20060852,0.33611542,0.25784865,0.023665562,0.05067834,0.13108198
t-45,0.20061104,0.33614153,0.25782728,0.023656443,0.0506837,0.13107863
t-44,0.20061572,0.3361591,0.25781357,0.02364355,0.050688032,0.13107848
t-43,0.20060703,0.33614296,0.25783262,0.023627551,0.05071129,0.13107722
t-42,0.20061077,0.33615252,0.25782236,0.023613436,0.05072204,0.13107748
t-41,0.20064513,0.33622506,0.25773937,0.02360191,0.050706565,0.13108054
t-40,0.20066725,0.33628395,0.25769067,0.023592377,0.05068447,0.13108028
t-39,0.20071743,0.33639508,0.2575749,0.023588786,0.050638676,0.13108401
t-38,0.20074321,0.33645236,0.2575154,0.023581676,0.05061974,0.13108657
t-37,0.20074208,0.33645067,0.25752163,0.023566533,0.050630815,0.13108735
t-36,0.20071921,0.33639657,0.2575857,0.023546454,0.050663806,0.13108718
t-35,0.20070352,0.33637336,0.25761154,0.023534529,0.050690327,0.1310858
t-34,0.20070177,0.33640093,0.25759497,0.023525987,0.050695177,0.13107993
t-33,0.20070347,0.3364153,0.25759053,0.023515563,0.05069568,0.13107811
t-32,0.20069584,0.33640677,0.25760955,0.023503589,0.050706513,0.13107684
t-31,0.20070904,0.33644688,0.25757116,0.023495158,0.050700754,0.13107644
t-30,0.20073089,0.33650124,0.25751373,0.023488129,0.050687455,0.13107792
t-29,0.20077796,0.33660704,0.25739366,0.023483178,0.050656278,0.13108133
t-28,0.20078643,0.33664542,0.25736132,0.023479644,0.050648507,0.13107854
t-27,0.20082958,0.33675435,0.2572484,0.0234804,0.050608285,0.1310788
t-26,0.20086731,0.33684158,0.25716192,0.023479836,0.050569095,0.13108018
t-25,0.20092958,0.33698004,0.25701836,0.023485301,0.050502367,0.1310843
t-24,0.2010372,0.33720538,0.2567888,0.023494145,0.050379295,0.13109489
t-23,0.20111983,0.33736527,0.25661373,0.023500944,0.05029505,0.13110493
t-22,0.20113671,0.33740506,0.25657547,0.023502601,0.05027474,0.13110512
t-21,0.20113476,0.33740005,0.25658017,0.023502635,0.05027708,0.13110529
t-20,0.20114593,0.33742905,0.25655153,0.023505447,0.050263103,0.1311051
t-19,0.20113285,0.33740205,0.2565808,0.023505736,0.050274134,0.13110474
t-18,0.20116585,0.3374822,0.25649294,0.02351493,0.050239027,0.13110556
t-17,0.20117725,0.33752128,0.25645405,0.023523856,0.0502207,0.13110329
t-16,0.2011531,0.33749902,0.2564825,0.023531208,0.050238635,0.13109589
t-15,0.2011437,0.33747056,0.25650313,0.023532733,0.05025377,0.13109617
t-14,0.20115703,0.3374929,0.25647295,0.02353387,0.050244983,0.13109832
t-13,0.20116197,0.33749872,0.2564559,0.023536036,0.05024837,0.13109942
t-12,0.2011679,0.33751082,0.2564462,0.023538688,0.05023739,0.13109955
t-11,0.20118918,0.33755812,0.25639164,0.023544265,0.050216094,0.13110141
t-10,0.20119353,0.33757293,0.25637433,0.023547487,0.05021185,0.13110054
t-9,0.20118389,0.3375549,0.2563841,0.023548473,0.050229684,0.13109934
t-8,0.20116507,0.3375097,0.25643337,0.023545902,0.050248165,0.13109823
t-7,0.20115112,0.33748025,0.25646758,0.023545729,0.050258666,0.1310968
t-6,0.2011693,0.33751726,0.25642735,0.023553228,0.050235078,0.13109799
t-5,0.20117952,0.3375423,0.25640497,0.023558646,0.050216984,0.13109764
t-4,0.2012273,0.3376389,0.2562994,0.023564309,0.05016831,0.1311019
t-3,0.2012589,0.33768108,0.25624707,0.023566127,0.05013756,0.13110963
t-2,0.20127103,0.33769876,0.2562241,0.02356591,0.050128028,0.13111259
t-1,0.20129092,0.33774287,0.2561713,0.023567846,0.05011347,0.13111381
